uri,prefLabel,definition,notation,theme,collection,inScheme,topConceptOf,hasTopConcept,member,type
<https://data.omgeving.vlaanderen.be/id/collection/matrix/bodem>,Collectie van matrices m.b.t. bodem.,,,,,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,,,https://data.omgeving.vlaanderen.be/id/concept/matrix/depositie|https://data.omgeving.vlaanderen.be/id/concept/matrix/zwevend_stof,<http://www.w3.org/2004/02/skos/core#Collection>
<https://data.omgeving.vlaanderen.be/id/collection/matrix/lucht>,Collectie van matrices m.b.t. lucht.,,,,,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,,,https://data.omgeving.vlaanderen.be/id/concept/matrix/strooisel|https://data.omgeving.vlaanderen.be/id/concept/matrix/hard_gesteente|https://data.omgeving.vlaanderen.be/id/concept/matrix/vilt|https://data.omgeving.vlaanderen.be/id/concept/matrix/groenten|https://data.omgeving.vlaanderen.be/id/concept/matrix/infrastructuur|https://data.omgeving.vlaanderen.be/id/concept/matrix/sediment|https://data.omgeving.vlaanderen.be/id/concept/matrix/biota|https://data.omgeving.vlaanderen.be/id/concept/matrix/gewassen|https://data.omgeving.vlaanderen.be/id/concept/matrix/eieren,<http://www.w3.org/2004/02/skos/core#Collection>
<https://data.omgeving.vlaanderen.be/id/collection/matrix/water>,Collectie van matrices m.b.t. water.,,,,,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,,,https://data.omgeving.vlaanderen.be/id/concept/matrix/waterbodem|https://data.omgeving.vlaanderen.be/id/concept/matrix/drinkwater|https://data.omgeving.vlaanderen.be/id/concept/matrix/oppervlaktewater|https://data.omgeving.vlaanderen.be/id/concept/matrix/grondwater|https://data.omgeving.vlaanderen.be/id/concept/matrix/koelwater|https://data.omgeving.vlaanderen.be/id/concept/matrix/afvalwater|https://data.omgeving.vlaanderen.be/id/concept/matrix/bemalingswater,<http://www.w3.org/2004/02/skos/core#Collection>
<https://data.omgeving.vlaanderen.be/id/concept/matrix/afvalwater>,Afvalwater,,,http://www.eionet.europa.eu/gemet/concept/15179,https://data.omgeving.vlaanderen.be/id/collection/matrix/water,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,,,<http://www.w3.org/2004/02/skos/core#Concept>
<https://data.omgeving.vlaanderen.be/id/concept/matrix/bemalingswater>,Bemalingswater,,,http://www.eionet.europa.eu/gemet/concept/15179,https://data.omgeving.vlaanderen.be/id/collection/matrix/water,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,,,<http://www.w3.org/2004/02/skos/core#Concept>
<https://data.omgeving.vlaanderen.be/id/concept/matrix/biota>,Biota,,,http://www.eionet.europa.eu/gemet/concept/7884,https://data.omgeving.vlaanderen.be/id/collection/matrix/lucht,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,,,<http://www.w3.org/2004/02/skos/core#Concept>
<https://data.omgeving.vlaanderen.be/id/concept/matrix/depositie>,Depositie,,,http://www.eionet.europa.eu/gemet/concept/270,https://data.omgeving.vlaanderen.be/id/collection/matrix/bodem,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,,,<http://www.w3.org/2004/02/skos/core#Concept>
<https://data.omgeving.vlaanderen.be/id/concept/matrix/drinkwater>,Drinkwater,,,http://www.eionet.europa.eu/gemet/concept/15179,https://data.omgeving.vlaanderen.be/id/collection/matrix/water,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,,,<http://www.w3.org/2004/02/skos/core#Concept>
<https://data.omgeving.vlaanderen.be/id/concept/matrix/eieren>,Eieren,,,http://www.eionet.europa.eu/gemet/concept/7884,https://data.omgeving.vlaanderen.be/id/collection/matrix/lucht,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,,,<http://www.w3.org/2004/02/skos/core#Concept>
<https://data.omgeving.vlaanderen.be/id/concept/matrix/gewassen>,Gewassen,,,http://www.eionet.europa.eu/gemet/concept/7884,https://data.omgeving.vlaanderen.be/id/collection/matrix/lucht,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,,,<http://www.w3.org/2004/02/skos/core#Concept>
<https://data.omgeving.vlaanderen.be/id/concept/matrix/groenten>,Groenten,,,http://www.eionet.europa.eu/gemet/concept/7884,https://data.omgeving.vlaanderen.be/id/collection/matrix/lucht,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,,,<http://www.w3.org/2004/02/skos/core#Concept>
<https://data.omgeving.vlaanderen.be/id/concept/matrix/grondwater>,Grondwater,,,http://www.eionet.europa.eu/gemet/concept/15179,https://data.omgeving.vlaanderen.be/id/collection/matrix/water,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,,,<http://www.w3.org/2004/02/skos/core#Concept>
<https://data.omgeving.vlaanderen.be/id/concept/matrix/hard_gesteente>,Hard gesteente,,,http://www.eionet.europa.eu/gemet/concept/7884,https://data.omgeving.vlaanderen.be/id/collection/matrix/lucht,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,,,<http://www.w3.org/2004/02/skos/core#Concept>
<https://data.omgeving.vlaanderen.be/id/concept/matrix/infrastructuur>,Infrastructuur,,,http://www.eionet.europa.eu/gemet/concept/7884,https://data.omgeving.vlaanderen.be/id/collection/matrix/lucht,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,,,<http://www.w3.org/2004/02/skos/core#Concept>
<https://data.omgeving.vlaanderen.be/id/concept/matrix/koelwater>,Koelwater,,,http://www.eionet.europa.eu/gemet/concept/15179,https://data.omgeving.vlaanderen.be/id/collection/matrix/water,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,,,<http://www.w3.org/2004/02/skos/core#Concept>
<https://data.omgeving.vlaanderen.be/id/concept/matrix/oppervlaktewater>,Oppervlaktewater,,,http://www.eionet.europa.eu/gemet/concept/15179,https://data.omgeving.vlaanderen.be/id/collection/matrix/water,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,,,<http://www.w3.org/2004/02/skos/core#Concept>
<https://data.omgeving.vlaanderen.be/id/concept/matrix/sediment>,Sediment,,,http://www.eionet.europa.eu/gemet/concept/7884,https://data.omgeving.vlaanderen.be/id/collection/matrix/lucht,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,,,<http://www.w3.org/2004/02/skos/core#Concept>
<https://data.omgeving.vlaanderen.be/id/concept/matrix/strooisel>,Strooisel,Afgestorven plantenmateriaal dat op de bodem ligt en nog niet verteerd is.,,http://www.eionet.europa.eu/gemet/concept/7884,https://data.omgeving.vlaanderen.be/id/collection/matrix/lucht,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,,,<http://www.w3.org/2004/02/skos/core#Concept>
<https://data.omgeving.vlaanderen.be/id/concept/matrix/vilt>,Vilt,"Afgestorven gazonmaaisel en plantendelen, mossen, mosresten en ander organisch materiaal dat met de wind wordt aangevoerd dat een ondoordringbare laag vormt op de bodem.",,http://www.eionet.europa.eu/gemet/concept/7884,https://data.omgeving.vlaanderen.be/id/collection/matrix/lucht,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,,,<http://www.w3.org/2004/02/skos/core#Concept>
<https://data.omgeving.vlaanderen.be/id/concept/matrix/waterbodem>,Waterbodem,,,http://www.eionet.europa.eu/gemet/concept/15179,https://data.omgeving.vlaanderen.be/id/collection/matrix/water,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,<https://data.omgeving.vlaanderen.be/id/conceptscheme/matrix>,,,<http://www.w3.org/2004/02/skos/core#Concept>
